,Unnamed: 0,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
174,174,25,101,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
175,175,26,109,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
176,176,27,120,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
177,177,28,127,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
178,178,29,137,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
179,179,30,145,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
180,180,31,149,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
181,181,32,156,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
182,182,33,159,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
183,183,34,166,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
184,184,35,168,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
185,185,36,173,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
186,186,37,185,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
187,187,38,193,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
188,188,39,205,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
189,189,40,223,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
190,190,41,235,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
191,191,42,255,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
192,192,43,266,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
193,193,44,270,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
194,194,45,278,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
195,195,46,289,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
196,196,47,292,6,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
197,197,48,310,7,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
198,198,49,315,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
199,199,50,331,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
200,200,1,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
201,201,2,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
202,202,3,22,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
203,203,4,30,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
204,204,5,37,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
205,205,6,42,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
206,206,7,43,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
207,207,8,48,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
208,208,9,51,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
209,209,10,68,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
210,210,11,71,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
211,211,12,79,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
212,212,13,86,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
213,213,14,92,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
214,214,15,94,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
215,215,16,95,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
216,216,17,97,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
217,217,18,103,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
218,218,19,109,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
219,219,20,114,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
220,220,21,117,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
221,221,22,131,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
222,222,23,133,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
223,223,24,135,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
224,224,25,151,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
225,225,26,157,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
226,226,27,164,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
227,227,28,176,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
228,228,29,180,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
229,229,30,187,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
230,230,31,189,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
231,231,32,193,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
232,232,33,200,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
233,233,34,207,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
234,234,35,214,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
235,235,36,214,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
236,236,37,218,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
237,237,38,223,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
238,238,39,234,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
239,239,40,246,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
240,240,41,257,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
241,241,42,266,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
242,242,43,270,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
243,243,44,282,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
244,244,45,287,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
245,245,46,298,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
246,246,47,308,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
247,247,48,317,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
248,248,49,331,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
249,249,50,337,7,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
250,250,1,13,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
251,251,2,19,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
252,252,3,20,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
253,253,4,26,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
254,254,5,36,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
255,255,6,48,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
256,256,7,64,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
257,257,8,70,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
258,258,9,78,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
259,259,10,83,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
260,260,11,86,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
261,261,12,97,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
262,262,13,104,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
263,263,14,110,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
264,264,15,115,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
265,265,16,119,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
266,266,17,126,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
267,267,18,131,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
268,268,19,134,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
269,269,20,139,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
270,270,21,141,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
271,271,22,146,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
272,272,23,149,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
273,273,24,158,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
274,274,25,166,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
275,275,26,169,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
276,276,27,176,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
277,277,28,181,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
278,278,29,186,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
279,279,30,191,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
280,280,31,202,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
281,281,32,211,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
282,282,33,216,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
283,283,34,221,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
284,284,35,226,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
